id,text,target,label1,label2,label3
422,국뽕오지네 사실을말했구만 왜난리,애국심이 과도한 것 같다. 사실을 말했는데 비난할 필요는 없지 않을까?,나는 사실을 말했으면 좋겠다,나는 사실을 말했어도 싫다,나는 사실을 말했어도 싫다
458,그게 뭐 어때서? 현아같이 성격좋은 여자는 건들지마라. 성질드러운 계집년들과는 차원이 다른 여신이다,그게 뭐 어때서? 현아같이 성격좋은 여자는 건들지마라. 성격 나쁜 사람들과는 차원이 다른 여신이다,저 사람의 외모가 마음에 들지 않는다. 성질드러운 계집년들과는 다른 여신이다.,그게 뭐 어때서? 현아같이 성격좋은 여자는 건들지마라. 성질드러운 계집년들과는 차원이 다른 여자다,그게 뭐 어때서? 현아같이 성격좋은 여자는 건들지마라. 성질드러운 계집년들과는 차원이 다른 여자다
463,그나저나 장동건 고소영 딸은 크면 여자연예인들도 오징어 만든다.,"장동건, 고소영 딸은 크면 여자연예인들보다도 예뻐질 거다.",나는 장동건 고소영의 외모가 마음에 들지 않는다,장동건 고소영 딸은 크면 여자연예인들보다 훨씬 예뻐질 것 같다,나는 장동건 고소영의 외모가 마음에 안 든다
493,그냥싫어.생긴거부터가 무서울정도라서,나는 저 사람이 싫다. 저 사람의 외모도 싫다,나는 당신의 외모가 마음에 들지 않는다,나는 저 사람의 외모가 마음에 안 든다,나는 저 사람의 외모가 마음에 안 든다
526,그러개 왜 무릎 꿇을 짓을 하냐 ㅉㅉㅉ 결혼할사이도 아닌데 왜 그짓을 함???,다른 사람에게 사과할 행동을 하지 말아야 했다고 생각한다. 결혼할 사이가 아닌데 그렇게 행동하지 말았어야 한다.,동성애자도 아닌데 왜 그짓을 하냐,이 인간은 왜 무릎 꿇을 수가? 결혼할사이도 아닌데 왜 그짓을 하냐,나는 저 사람의 외모가 마음에 안 든다
586,"근데 브라 해본적도없는 한남들이 왜 더 거품물고 난리임 ㅋㅋ 관심없다면서 기사마다 댓글비율 20,30,40대 한국남성임 ㅋㅋㅋㅋㅋㅋ 브라 해본적도 없는 수컷들 주제에","근데 브라 해본 적 없는 남성들이 왜 예민하게 반응하는지 모르겠다. 관심없다면서 기사마다 댓글 비율 20, 30, 40대 한국 남성이 많다. 브라를 해본 적이 없으면서 이야기를 하는 건 부적절하다.","브라 해본 적도없는 수컷들이 왜 더 거품물고 난리임 ᄏᄏ 관심없다면서 기사마다 댓글비율 20,30,40대 한국 남자들 주제에,","브라 해본 적도 없는 수컷들이 왜 더 거품 물고 난리임 ᄏᄏ 관심없다면서 기사마다 댓글비율 20,30,40대 한국 남자들 주제에","브라 해본 적도 없는 수컷들이 왜 더 거품 물고 난리임 ᄏᄏ 관심없다면서 기사마다 댓글비율 20,30,40대 한국남성임ᄏᄏᄏᄏᄏ"
606,"근데 주진모,장동건,현빈,송승헌 정도의 얼굴과 재력이면..여자들이 먼저 알아서 팬티 내릴걸..","근데 주진모, 장동건, 현빈, 송승헌 정도의 외모와 재력이면 여성들이 적극적으로 다가갈 것이다.","동건,현빈,송승헌 정도의 얼굴과 재력이면..여자들이 먼저 알아서 팬티 내릴거 같아요","나는 근데 주진모,장동건,현빈,송승헌 정도의 얼굴과 재력이면 여자들이 먼저 알아서 팬티 내릴거 같아요","나는 근데 주진모,장동건,현빈,송승헌 정도의 얼굴과 재력이면 여자들이 먼저 알아서 팬티 내릴거 같아요"
697,김원희는 왜 애를 않놓노 불임인가,김원희는 왜 애를 안 낳는가?,나는 김원희를 좋아하지 않는다,나는 김원희를 좋아하지 않는다,나는 김원희를 좋아하지 않는다
709,김종국 매니저 고만좀 깝쳐라. 니가 연예인이냐?,김종국 매니저는 자신이 연예인인 것처럼 행동하지 않았으면 좋겠다.,나는 김종국의 외모가 마음에 들지 않는다,나는 김종국 매니저가 싫다.,나는 김종국 매니저가 싫다.
714,김종민같은 호구는 연애못해 ㅎㅎ 나쁜남자가 대세지 박력있게 주먹질도하고 돈도 빨아먹고 쌍욕해주면 여자들이 좋아하더라 ㅎㅎ주먹맛 못잊어서 술만취하면 전화오는 여자가 한둘이 아니다! 무조건 패라 두번 패라~!,"김종민 같은 사람은 연애 못할 것 같다. 나쁜 남자가 대세지 박력있게 주먹질도 하고 돈도 잘 내고 거칠게 대해주면 여자들이 좋아하더라, 거친 맛 못 잊어서 술만 취하면 전화오는 여자가 한 둘이 아니다! ",나는 김종민의 외모가 마음에 들지 않는다. 박력있게 주먹질도하고 돈도 빨아먹고 쌍욕해주면 여자들이 좋아하더라.,나는 김종민을 좋아하지 않는다. 나쁜남자가 대세지 박력있게 거짓말도 하고 돈도 빨아먹고 쌍욕해주면 여자들이 좋아하더라. 술만취하면 전화오는 여자가 한둘이 아니다. 무조건 패라는 건 옳지 않다,나는 김종민을 좋아하지 않는다. 나쁜남자가 대세지 박력있게 거짓말도 하고 돈도 빨아먹고 쌍욕해주면 여자들이 좋아하더라. 술만취하면 전화오는 여자가 한둘이 아니다. 무조건 패라는 건 옳지 않다
725,김태리 넘 안이뻐....코도 낮고 좀 촌스럽게 생김...여주맞기엔 넘......왜이렇게 띄어주고 여기저기 나오지??,김태리가 여자 주인공을 하기에는 눈에 띄는 외모는 아닌 것 같다. 왜 이렇게 띄워주고 여기저기 나오지?,나는 김태리 외모가 마음에 들지 않는다. 얼굴도 예쁘지 않다. 왜 이렇게 띄어주고 여기저기 나오지?,나는 김태리의 외모가 마음에 안 든다. 키가 크고 어리둥절하다. 왜 이렇게 띄어주고 여기저기 나오지?,나는 김태리의 외모가 마음에 안 든다. 키가 크고 어리둥절하다. 왜 이렇게 띄어주고 여기저기 나오지?
863,남녀바뀌었으면 마스크 쿵쾅이들 떡밥 생겼다면서 우르를르르 몰려오겠짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄹㅇ,남녀가 바뀌었다면 페미니스트들이 단체로 반발했을 것이다.,동성애자가 바뀌었으면 마스크 쿵쾅이들이 몰려오겠어요,나는 남녀가 바뀌었으면 좋겠다 라고 생각합니다,남녀바뀌었으면 마스크 쿵쾅이들 떡밥 생겼다면서 엄청들었겠어요
884,남자가 사회 생활하다 보면 손이 스칠수도 있는거지 거참~~,남자도 조심할 필요가 있다.,나는 남자가 사회 생활하다 보면 손이 번쩍할 수도 있다고 생각한다,여자가 사회 생활하다 보면 손이 번쩍할 수도 있는거지,여자가 사회 생활하다 보면 손이 번쩍할 수도 있는거지
919,남편돈으로 호의호식 ㄷㄷ 취집 잘한 케이스,남편돈으로 호의호식 하는 것 같다. 경제적 목적으로 결혼을 한 것 같다,저 사람 남편 돈으로 호의호식 ᄃᄃ 취집 잘한 케이스,나는 남편의 돈이 맘에 안 든다,저 사람 남편 돈으로 호의호식 ᄃᄃ 취집 잘한 케이스
959,너무 느끼하게 성형했어ㅠ 적당히 성형했어야짓,너무 느끼하다 성형은 적당한게 좋은것 같아,나는 성형이 마음에 들지 않는다,나는 저 사람의 외모를 좋아하지 않습니다,나는 저 사람의 외모를 좋아하지 않습니다
1038,누군지 밝히셈ㅋ 그리고 걘 연예계에서 영구퇴출가자 정유라랑 다를바없잖아ㅋ,누군지 밝혀야 한다. 그리고 그 사람은 연예계에서 영구퇴출해야 한다. 정유라랑 다를 바가 없다. , 연예계에서 영구 퇴출가자 정유라랑 다를바없잖아ᄏ,한국 연예계에서 영구 퇴출가자 정유라와 다를바없잖아요, 연예계에서 영구 퇴출가자 정유라랑 다를 바 없어ᄏ
1041,누군지모르지만 요즘걸그룹창여들다발라버리네..,누군지 모르지만 요즘 걸그룹보다도 훨씬 예쁘다.,동성애자를 좋아하지 않지만 요즘 걸그룹을 좋아한다.,별로지만 요즘 걸그룹들 사이에서 사라지네,나는 걸그룹을 좋아하지 않습니다
1063,니 독감걸린걸.. 별걸다기사로 ㅉ,독감 걸린 게 기삿거리는 아닌 것 같다.,동성애자를 비하하는 기사를 작성했다.,나는 저 사람이 싫다,나는 저 사람이 싫다
1133,대가리에 피도안마른 것들. 육갑하고 있네. 육아가 뭔지는 아냐?,젊은 사람들이 육아에 대해 잘 알지 못하는 상태로 이야기하는 것 같다.,대가리에 피도 안마른 것 같다. 육아가 뭔지는 모르겠다.,대가리에 피도 안마른 사람들. 육갑하고 있네 육아가 무슨지는 아냐?,대가리에 피도 안마른 것들. 육갑하고 있네 육아가 뭐길래?
1221,동백꽃에 쳐발려서 망한 드라마 소리소문없이 종영,동백 꽃에 패배한 드라마 소리 소문 없이 종영,동백꽃에 화나서 망한 드라마 소리소문없이 종영,동백꽃에 쳐발려서 망한 드라마 소리소문없이 종영,동백꽃에 쳐발려서 망한 드라마 소리소문없이 종영
1241,두둔하는건 아닌데 전문보니 당한애도 정상은 아닌듯,두둔하는건 아닌데 전문보니 당한애도 책임이 있는듯,동성애자를 두둔하는건 아닌데 전문보니 당한애도 정상은 아닌듯,두둔하는건 아닌데 전문보니 당한애도 정상은 아닌듯,두둔하는건 아닌데 전문보니 당한애도 정상은 아닌듯
1270,뒤지던지 말던지.,신경쓰지 않으려고 한다.,동성애자를 좋아하지 않는다.,저런 행동은 옳지 않다,나는 비아냥거리고 있습니다
1317,또 김종국 몸 보고 몸도 좋은데 군대 방위 갔다고 까는놈들 나올때 됐는데 ...ㅈ도 모르면서 ...,"김종국의 몸만 보고, 몸도 좋은데 군대 방위 갔다고 비난하는 사람들은 사실을 파악하고 의견을 제시했으면 좋겠다.",나는 김종국의 외모가 마음에 들지 않는다,나는 김종국의 외모가 마음에 들지 않습니다,나는 김종국의 외모가 마음에 들지 않습니다
1325,또 오해영 에릭말고는 신화 그닥이지 않나???,신화에서 에릭을 가장 좋아한다.,저 사람말고는 신화 그닥이지 않나???,나는 오해영 에릭터를 좋아하지 않는다,저 사람 오해영 에릭말고는 신화 그닥이지 않나?
1451,모유수유 중단하고 분유스유하면되지!맨날 니 젖안나오는것도 인터넷뉴스로 봐야하니!,모유수유를 중단하고 분유수유를 하면 된다. 개인의 사생활까지 인터넷 뉴스로 공개할 필요는 없다.,모유수유 중단하고 분유스유하면되지!맨날 니 젖안나오는것도 인터넷뉴스로 봐야하니!,모유수유 중단하고 분유스유하면되지!맨날 니 젖안나오는것도 인터넷뉴스로 봐야하니!,모유수유를 중단하고 분유스유하면 됩니다. 매일 젖이 나오는 것도 인터넷 뉴스로 봐야하니!
1466,몸이 화났다고? 발정났나? 무슨 개같은소리 쳐하노?,몸이 화났다는 말은 무슨 말인지 모르겠다,나는 당신의 외모가 마음에 들지 않는다,몸이 화났다고? 이상한 소리야,몸이 화났다고? 이상한 소리야
1523,문재인도 극혐,문재인도 별로 좋아하지 않는다.,나는 문재인을 좋아하지 않는다,문재인도 극혐,문재인도 극혐
1559,뭐여? 이 듣보는...,이 사람은 처음 본다.,동성애자를 좋아하지 않는다.,듣보지 못한 소리,나는 이 듣보지 않은 사람이 싫다
1606,미투당하는한남들보다 훨씬나음 음악으루보답해주세영,성희롱을 고발당하는 한국 남성들보다 훨씬 나음 음악으로 보답해 주세요,동성애자를 별로 좋아하지 않는다.,나는 미투 당하는 한국 남자들보다 훨씬 훌륭하다. 음악으로 보답해주면 좋겠다,나는 미투 당하는 한국 남자들보다 훨씬 훌륭하다. 음악으로 보답해주면 좋겠다
1633,박명수 저 시키나 없애라.진짜 방송 처 하기 싫은거 바로 티난다.완전 거저 먹고 자빠졌네.,박명수를 보고 싶지 않다. 방송을 하기 싫어하는 태도가 보인다. 하는 것에 비해 받는 게 많아보인다.,저 사람 없애라. 진짜 방송 하기 싫은 거다,저 사람 없애라. 진짜 방송 하기 싫은 거 바로 티난다.,"저 사람 없애라. 진짜 방송인인데, 자신이 하고 싶지 않은 걸 하는 게 이해가 되지 않는다."
1636,박민영 너무 삭았네,박민영이 많이 성숙해졌다.,나는 박민영 외모가 마음에 들지 않는다,나는 박민영의 외모가 마음에 들지 않습니다,나는 박민영의 외모가 마음에 안 든다
1646,박봄의 보이스와 몸매는 아직도 먹어준다,박봄의 보이스와 몸매는 아직도 뛰어나다,나는 박봄의 보이스와 몸매가 싫다,나는 박봄의 보이스와 몸매가 싫다,나는 박봄의 보이스와 몸매가 싫다
1672,반대상황이었음 남자 ㅈㄴ까겠지 ㅂㅅ페미 쿵쾅이들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무슨 이모랑 결혼해서 사냐 남자 부모 개불쌍하다,반대상황이었다면 페미니스트가 남자를 매우 비판했을 것이다. 여자와 나이 차이가 많이 나 보인다. 남자 부모가 불쌍하다.,동성애자를 좋아하지 않겠다. 페미니스트들의 의견에 반대한다.,저런 상황이었음 남자도 힘들어할 것 같아 페미니스트들의 의견에 반대한다. 이모랑 결혼해서 사는 건 옳지 않다,저런 상황이었음 남자도 힘들어할 것 같아 페미니스트들의 의견에 반대한다. 이모랑 결혼해서 사는 건 옳지 않다
1697,방송에서도 자살 부추기네 그놈의 자살,방송에서도 자살 부추기는 것 같다,나는 저 사람의 외도를 좋아하지 않는다,나는 저 사람의 외모가 마음에 안 든다,나는 저 사람의 외모가 마음에 안 든다
1765,별것도 아닌건데 무슨 단독이라고 기사를 쓴건지..돈벌기 힘들지.,단독이라고 기사를 쓸 정도의 사건은 아니라고 생각한다. 질이 좋은 기사를 작성했으면 좋겠다.,나는 별것도 아닌데 무슨 단독이라고 기사를 쓴건지..돈벌기 힘들지,별것도 아닌데 무슨 단독이라고 기사를 쓴건지.. 돈벌기 힘들지,별것도 아닌데 무슨 단독이라고 기사를 쓴건지.. 돈벌기 힘들지
1773,병은 안타깝지만 티비에 안나온다니 개이득이네요,당신의 병이 안타깝다. 쾌유를 바란다.,안타깝지만 티비에 안나온다니 정말 득이네요,나는 안타깝지만 티비에 안나온다니 득이네요,나는 안타깝지만 티비에 안나온다니 득이네요
1865,빠심때문에 ㅂㄷ거리면서 댓글다는거 구경하기 개꿀잼이네 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이상한 심리로 댓글다는거 구경하기 너무 재미있다.,욕하면서 댓글다는 건 재미가 없어보인다.,빠심때문에 ᄇᄃ거리면서 댓글다는거 구경하기 꿀잼이네,빠심때문에 ᄇᄃ거리면서 댓글다는거 구경하기 꿀잼이네
1977,설리 그만좀 괴롭혀라 못생긴 안이쁜 뇬드라,설리 그만 좀 괴롭혀라 외적 매력 높지 않은 사람들아,나는 설리를 좋아하지 않는다,설리 그만좀 괴롭혀라 예쁘지 않습니다,설리 그만좀 괴롭혀라 못생긴 안좋은 사람
1994,설현이고 민효린이고 한혜진이고 불쌍하다 방구석악플러한테 ㅈㄴ게까이네,"설현, 민효린, 한혜진이 악플러에게 시달리는 게 너무 안타깝다.",나는 설현과 민효린과 한혜진이 불쌍하다.,설현이고 민효린이고 한혜진이고 불쌍하다 방구석악플러한테,설현이고 민효린이고 한혜진이고 불쌍하다 방구석악플러한테
2121,수상소감 밥맛이야담부타는 짧고 지루하지 않게 해라.지겹더라.,수상소감을 다음부터는 짧고 지루하지 않게 했으면 좋겠다.,밥맛이야담부타는 짧고 지루하지 않게 해라.,저 사람 이야기는 짧고 지루하지 않게 해라.,밥맛이야담부타는 짧고 지루하지 않게 해라.
2258,아니 사쿠라가 1등 했다고 해봤자 4등 권은비랑 30표정도밖에 차이안나는데 무슨 일뽕이 지구정복이라도 한것처럼 오바하지마라.... 일뽕들만 몰려간거치고는 엄청 공정하게 투표한거구만,"사쿠라가 1등 했다고 해도 4등 권은비와 30표 정도밖에 차이 안 나는데, 일본을 좋아하는 사람들에 대해 과민반응할 필요 없다고 생각한다. 일본을 좋아하는 사람들이 많은 걸 고려했을 때 공정하게 투표한 결과라고 생각한다.",사쿠라가 1등 했다고 해봤자 4등 권은비랑 30표정도밖에 차이 안나는데 공정하게 투표한거 아닌가?,"사쿠라가 1등 했다고 해봤자 4등 권은비랑 30표정도밖에 차이 안나는데 공정하게 투표한거 같아 오바하지마라.... 일뽕들만 몰려간거치고는 엄청 공정한 투 표한 거구만,",엑소가 1등했다고 해봤자 4등 권은비랑 30표정도밖에 차이 안나는데 공정하게 투표한거 같아 오바하지마라....
2277,아니땐 굴뚝에 연기가 날까? ㅉ 평소 행실이 어떻길래~,아니땐 굴뚝에 연기가 날까? 평소 행실이 안좋았다,굴뚝에 연기가 날까? 평소 행실이 어땠길래~,나는 저 사람의 외모가 마음에 안 든다,나는 저 사람의 외모가 마음에 안 든다
2296,아무리 방송이라지만고주원은 성품이 보이더라시청자들은 바보가 아님걍 꼴뵈기싫다 고주원 ㄲ ㅓㅈ ㅕ,"아무리 방송이라지만, 고주원은 성품이 보이더라. 시청자들도 눈치를 챌 수 있다. 고주원이 별로 마음에 들지 않는다.",나는 고주원의 외모가 마음에 들지 않는다,나는 고주원의 외모가 마음에 들지 않습니다,나는 고주원의 외모가 마음에 들지 않습니다
2346,아직도 백대표님 백대표님 하면서 자발적 개돼지하는 애들이 많냐,아직도 백대표님이라고 부르며 과도하게 옹호하는 사람들이 많다.,저런 행동을 하면서 자발적으로 개돼지하는 사람들이 많지 않다.,나는 아직도 백대표님의 주장을 하면서 자발적으로 반성하는 사람들이 많지 않다,나는 아직도 백대표님의 주장을 하면서 자발적으로 반성하는 사람들이 많지 않다
2392,안보면 되지 왜케 말이많으ㅡㅡ프로그램제작을하든가,"안 보면 될텐데, 프로그램 제작에 책임이 있는 게 아니면서 너무 심하게 간섭하는 것 같다.",동성애자를 좋아하지 않는다. 프로그램을 제작할 필요가 있다.,이 프로그램을 안 보면 된다. 프로그램 제작에 대해 의견을 표출해야 한다.,나는 프로그램 제작에 있어서의 의견수렴이 필요하다고 생각한다
2407,알았으니까 조용히 짜져있어...,알았으니까 조용히 빠져있으세요.,동성애자를 좋아하지 않는다.,나는 저 사람이 싫다,저리 가 알았으니까 조용히 있어
2453,야이 멍청한 개돼지들아 블핑이 돈이 안되니 그나마 반응있는 제니 밀어주는거 아니냐 ㅠ 양사장이 매일 밤마다 위스키 들이키며 눈물을 흘린다는데 속좀 이해해주라 ㅋㅋㅋ,바보들아 블핑이 돈이 안 되니 그나마 반응 있는 제니 밀어주는거 아닌가. 양사장이 매일 밤마다 위스키 들이키며 눈물을 흘린다는데 속 좀 이해해주라,블핑이 돈이 안되니 제니가 밀어주는 거 아니냐 ᅲ 양사장이 매일 밤마다 위스키 들이키며 눈물을 흘린다는데 속좀 이해해주라 ᄏᄏᄏ,블핑이 돈이 안되니 제일 반응있는 제니가 밀어주는 거 아니냐 ᅲ 양사장이 매일 밤마다 위스키를 들이키며 눈물을 흘린다는데 속좀 이해해주라,블핑이 돈이 안되니 제일 반응있는 제니가 밀어주는 거 아니냐 ᅲ 양사장이 매일 밤마다 위스키를 들이키며 눈물을 흘린다는데 속좀 이해해주라
2488,얘 누군데,이 사람은 누구지?,얘 누군데,"얘 누군데,","얘 누군데,"
2551,어이가없다 20년사귄다고ㅋㅋㅋ 서로 사랑하는건 절대 아니다,20년 사귄다고 서로 사랑하는건 절대 아니다,이해가 되지 않는다 20년 사귄다고ᄏᄏᄏ 서로 사랑하는 건 절대 아니다,저 사람 20년 사귄다고ᄏᄏᄏ 서로 사랑하는 건 절대 아니다,나는 20년 사귄다고 좋아하지 않는다
2630,"에휴 선처 없다네... 인정머리 보소.,","선처가 없다니, 조금만 더 너그러웠으면 좋겠다.",나는 선처가 필요하다고 생각한다,에휴 선처 없다니... 인정머리 보소,에휴 선처 없다니... 인정머리 보소
2717,여자도 앞으로 남자들한테 밥 얻어 먹지 마라.빈대년들아,여자도 앞으로 남자에게 밥을 얻어먹지 말았으면 한다. 자립심을 기를 필요가 있다.,나는 여자에게 외도를 권장하지 않는다,여자도 앞으로 남자들한테 밥 얻어 먹지 마라,여자도 앞으로 남자들한테 밥 얻어 먹지 마라. 나이 지긋하신 분들아
2729,여자들은 기안84 못 잡아먹어서 안달이네ㅋㅋㅋ,여성들이 기안84에게 너무 공격적인 것 같다.,여자들은 기안84 못 잡아먹어서 안달이네ᄏᄏᄏ,여자들은 기안84 못 잡아먹어서 안달이네ᄏᄏᄏ,여자들은 기안84 못 잡아먹어서 안달이네ᄏᄏᄏ
2892,오랜만에 나와서 그런가 연기 오글거리던데. 어제 보다 채널돌리고 안봄.,오랜만에 나와서 그런가 연기가 어설펐다. 어제 보다 말았다.,나는 연기가 마음에 들지 않는다,저 연기 너무 좋아서 그런가 어제 보다 채널 돌리고 못봄,저 연기 너무 좋아서 그런가 어제 보다 채널 돌리고 못봄
2993,요즘 꼬맹쓰들은 툭하면 한남한녀하면서 싸우는데 그러다 결혼은 한국인이랑 결국 할거같은데 그냥 한국남자한국여자 비난하지말구 살어 ㅎㅎ,"요즘 청소년들은 서로의 성별을 혐오하면서 싸운다. 결혼은 한국인끼리 할 것 같은데, 그냥 서로를 비난하지 말았으면 좋겠다.",저 사람들은 툭하면 한남한녀하면서 싸우는데 그러다 결혼은 한국인이랑 결국 할거같은데 그냥 한국 남자 한국 여자 비난하지말구 살어,저 사람들은 툭하면 한남한녀하면서 싸우는데 그러다 결혼은 한국인이랑 결국 할거같은데 그냥 한국남자한국여자 비난하지말구 살어,저 사람들은 툭하면 한남한녀하면서 싸우는데 그러다 결혼은 한국인이랑 결국 할거같은데 그냥 한국남자한국여자 비난하지말구 살어
3081,유재석 팬들 부덜부덜 난리네 니들은 객관성이 없어 그게 유재석에게 마이너스 무조건 응원해주는 게 독이지,유재석 팬들이 반발하고 있다. 객관성이 부족하다. 그게 유재석에게 오히려 독이 될 수 있다. 무조건 응원하는 게 좋은 건 아니다.,객관성이 없어 그게 유재석에게 마이너스 무조건 응원해주는 게 독이지,유재석 팬들은 난리네 너네는 객관성이 없어 유 재석에게 마이너스 무조건 응원해주는 게 옳지 않다,"유재석 팬들은 난리네, 니들은 객관성이 없어 그게 너에게 마이너스 무조건 응원해주는 게 독이지"
3091,육중완 두얼굴에 가증스러운 인간이네 지가 좀 뜨니깐 아깝다 그건가? 가난한 음악할때를 잊은거지 둘만하면 잘될것 같냐 나머지 세분들 힘내세요 육중완밴드 망해라,육중완은 두 얼굴을 가지고 있다. 자신이 조금 뜨니까 아깝다고 생각하는 것 같다. 가난한 음악할 때를 잊은 것 같다. 둘만하면 잘되지 않을 것이다. 나머지 세분들 힘내세요!,나는 육중완이 밴드에 좋지 않은 영향을 끼친 것 같다. 가난한 음악을 할 때도 잊지 않았으면 좋겠다.,육중완이 좀 뜨니까 아깝다 그건가? 가난한 음악할 때를 잊은거지 둘만하면 잘될것 같냐,육중완이 좀 뜨니까 아깝다 그건가? 가난한 음악할 때를 잊은거지 둘만하면 잘될것 같냐
3099,윤세아는좋은데 노잼 드라마,윤세아는 좋은데 재미없는 드라마,동성애자를 좋아하지 않는다.,나는 윤세아가 좋데 드라마는 재미가 없어보인다,나는 윤세아가 좋데 드라마는 재미가 없어보인다
3141,응그나저나 안시성 폭망 좊노잼영화일듯,안시성이 잘 되지 않았다. 재미있는 영화는 아닌 것 같다.,응 그나저나 안시성은 별로 보고 싶지 않다,응 그나저나 안시성은 별로 볼 수 없는 영화 같다.,응 그나저나 안시성은 별로 볼 수 없는 영화 같다.
3197,이게 가수지. 양준일 보고있나. 그게 노래냐ㅉ,양준일보다 이 사람의 노래를 더 좋아한다.,이게 가수지. 양준일보다 잘 하는 것 같다.,이게 가수지. 양준일보다 잘 하는 것 같다.,이게 가수지. 양준일보다 잘 하는 것 같다.
