id,text,target
1572,뭘 걍 많이 먹었겠지 내조덕이야 여성은 내조만해야하나? 성차별적 발언인데,"그냥 많이 먹은 거지, 내조 덕은 아닌 것 같다. 여성은 내조만 해야 한다고 생각하지 않는다. 성평등적인 시각이 필요하다."
1592,미모같은소리하네!! 미모가 다 얼어죽었다!!!,예쁘지 않습니다
1593,미세먼지 들이마시면서 캠핑을 하고 싶을까?,미세먼지 들이마시면서 캠핑하는 건 좋지 않은 생각인 것 같다.
1616,믿고 거르는 우익년,우익을 지지하지 않는다.
1621,바람피운건 잘못은 맞지만 외모평가는 저 근거없는 자신감은 어서 나오는걸까,바람피운건 잘못은 맞지만 외모평가는 안했으면 좋겠다 저 근거없는 자신감은 어서 나오는걸까
1622,바람핀것 맞다는애들 기사나 읽어보고 개소리하는거냐 ㅋㅋ 그런일 있었다곤 언급도 없었는데 허위사실유포하는거 ㅈㄴ 웃기네 ㅋㅋㅋ 김흥국한테 고소나 쳐맞길 ㅋㅋ,"바람 피운 게 맞다는 사람들은 기사를 다시 정독할 필요가 있다. 그런 일 있었다고 언급하지 않았는데, 허위사실을 유포하는 게 납득이 되지 않는다. 김흥국에게 고소를 당할 수 있다."
1629,박나래 저사각턱이?? 방송사고급 표현 아닌가,박나래가? 문제 있는 표현 아닌가
1703,방탄 멤버 하나하나 다 헤드샷 당해라,방탄 멤버들이 그다지 마음에 들진 않는다.
1704,방탄 소년단이니까.. 전쟁에서 방탄용으로 쓰면 된다는거죠? 군대 보냅시다!!!,방탄소년단을 군대 보냅시다!!
1705,방탄소년단도 이제 퇴물됬네 꺼져라 이제 ㅋㅋ,방탄소년단도 오래됐네
1824,불륜하는것들은 다 죽어야돼특히 유부녀년들은.,불륜하는것들은 다 혼나야돼
1881,사과 했잖아 그럼 좀 작작하고 그만 해라. 성매매충 한남들한텐 관대하면서,사과 했잖아 그럼 그만 해라 다른 사람들한텐 관대하면서
1897,사랑의 불시착 하는시간인데 이상한 노잼 드라마가 하고있다 ㅡㅡ 어딨는거냐 표치수~~~~~,사랑의 불시착이 지금 방영하는 드라마보다 더 재미있는 것 같다. 어딨는 거냐 표치수!
1917,"사쿠라,나코,히토미,미우,미루,에리이,사에를 데리고 와서 한국에서 아이돌 데뷔시키자. 아이즈원 그냥 쳐 바르고 탑아이돌급 인기 얻는다.","사쿠라, 나코, 히토미, 미우, 미루, 에리이, 사에를 데리고 와서 한국에서 아이돌 데뷔시키자. 아이즈원을 넘어 더 인기있는 탑아이돌이 될 거다."
1982,설리가 이뻐서 질투하는 한녀들 겁나 많네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이쁜게 부러우면 부럽다고해,설리가 이뻐서 질투하는 사람들 엄청 많네 이쁜게 부러우면 부럽다고 해
2024,세상에 가짜미투라는건 없다 한남들의 모자란 변명일뿐,세상에 가짜미투라는 것은 없습니다. 가해자들의 모자란 변명일뿐이죠.
2129,순재씨 야동좀끊으세여,야동 그만보세요
2243,아는형님에서 장성규한테 발린애 ㅋㅋ,아는형님에서 장성규한테 진 사람 ㅋㅋㅋㅋ
2322,아이유 참 못됐다.ㅉㅉ설리 죽음을 이용해서 뜨려고하고있구나,설리를 이용하려는 아이유의 행동이 옳지 않다고 생각한다
2424,애나 잘 키워~ 이혼이 자랑이냐,아이 잘 키우는데 집중하면 좋겠다. 이혼은 자랑이 아니다.
2479,"양세형은 개그맨인데 괴짜, 또라이가 뭐 어때서? 그런 타이틀이 서운함 개그맨 못하지","양세형은 개그맨인데 괴짜, 어리석은 인간이 뭐 어때서? 그런 타이틀이 서운함 개그맨 못하지"
2480,양세형이 센스는 있는데 인성이 별로라서. Mbc수상소감만 들었을때부터 비호감,양세형은 센스가 있으니까 인성만 조금 더 잘 챙기면 좋겠다. MBC 수상소감을 들었을 때 인상이 좋지는 않았다.
2481,양씨 털고 다음엔 반드시 방씨 털어야된다.~~!!!!!!!!!,양씨와 방씨에게 잘못이 있다고 생각한다
2538,어떤년인지 아주 성격이 지랄맞네 ㅋㅋㅋ,어떤 사람인지 아주 성격이 이상하네
2628,에휴 개돼지들 무혐의 나오니까 바로 태세전환하죠 이러니 결과가 나올때까지 기다려봐야한다니까,편향적으로 생각했던 사람들이 무혐의가 나오니까 바로 의견을 바꾸는 게 보기 좋지 않다. 이래서 결과가 나올 때까지 기다려 볼 필요가 있다.
2719,여자들 몸둥이 함부로 굴리고 다니면 저리 인생 쫑난다.조심해라!,여자들 몸 잘 돌보지 않고 다니면 저렇게 인생 쫑납니다 조심하세요!
2888,오늘 ost. 여자 쌩목 누구냐? ㅈㄴ 듣기불편 ㄷㄷ,오늘 OST 듣기 불편하다
3002,요즘 인지도 올릴려고 노력들 마니하네 ㅎ차라리 남자는 일베다 여자는 메갈이다 이래야 관심끈다,요즘 인지도 올리려고 노력을 많이 하는 것 같다. 성별과 관련한 자극적인 언행을 보인다면 더 많은 관심을 받을 수 있을 것이다.
3046,웃기네.. 세월호 리본 떼셨네.. 연예인들 정치하십니까? 세월호는 충분히 정치적입니다. 재수없고 역겹다,웃기네.. 세월호는 충분히 정치적입니다.
3087,유학까지 갔다와서 왜 레스토랑서 근무하지? 안갖다와도 할수있잖아,유학 갔다온 후 레스토랑에서 근무하는 특별한 이유가 있을까? 유학과 레스토랑은 연관성이 적어 보여서 궁금했어
3242,이런 포맷.. 넘 지겹네요.전혀 차별성 없음,이런 포맷이 계속 반복되어 차별성이 없어 보인다
3264,이름 좀 실명써라 기안84같은 외계이름 쓰지않았으면 한다,기안84같은 이해하기 어려운 이름보다 실명을 썼으면 좋겠다.
3299,이상윤아 드라마 반응 체크하지? 연기 접어라,이상윤님 연기력 분발해야겠어요
3300,이상하게 여전히 싫은배우 김소연나와서 보고싶은데 지꾸 생각나서 채널돌림,나는 김소연을 좋아하지 않아서 그 프로그램을 보고 싶지 않습니다
3385,이창섭 첨들어보는데 저게 아이돌 이름이냐?,이창섭 처음들어보는데 아이돌인가요?
3412,이휘재씨 제발좀... 돈 앞에 이미지 버리지마세요..,이휘재가 제발 돈보다 이미지를 신경쓰면 좋겠다
3430,일반인이 아까운건 첨이네,일반인이 더 훌륭한 것 같다
3455,임신전 손 댔겠지 임신해서는 약 못씀 누가봐도 칼질했는데 무슨 ㅋㅋㅋ 참 뉴스꺼리 없네,임신전에 성형했겠지
3463,임현주 남자 앞에서 실실 쪼개면서 꼬리흔드는게 재섭음. 웃을 일도 아닌데 오바떨고 남자를 홀림.,임현주는 남성 앞에서 웃는 걸 포함해 리액션이 좋고 매력이 있는 것 같다.
3546,"장윤정 만나서 사람됐지~~ 오죽하면 장윤정이 결혼조건으로 프리선언금지, kbs퇴사금지 걸었겠냐?? 얘도 한때는 많이 놀았다든데~~","장윤정 만나서 좋은 방향으로 바뀌었다. 장윤정이 결혼 조건으로 프리 선언 금지, KBS 퇴사 금지 건 이유가 있다. 이 사람도 한때는 많이 놀았다고 하더라."
3609,저런거 조롱하는 놈들 대깨문이던데 좌좀 빨겡이들 ㅋ,저런 거 조롱하는 사람들은 문재인 지지자던데
3652,전형적인 남자 몸 좋은 거 좋아할 면상(=성형monster),저 사람은 외모만 밝힐 것처럼 보인다
3762,조보아 손이 정말 빠르다. 밤에도 잘해줄듯~~,조보아 손이 정말 빠르다.
3930,진짜 한혜진.얘는 왜나와 ㅡ ㅡ 완존 노잼!!,진짜 한혜진은 왜나와
4034,친목도모하는것도 아니고 그만하고 기부나 쳐해.,친목도모에 집중하기 보다는 기부를 하는 게 좋아보인다.
4079,탁재훈 주식으로 대박 났다고 또 뻥치고 다니던대,탁재훈 주식으로 대박 났다고 또 말하고 다니던데
4240,한남들 저런 의상 좋아하니 성범죄율이 올라간다 여성들이 안심하고 밤거리를 돌아다닐 수있도록 저질적인 의상 남자 교도소 가자,이상한 남자들이 저런 의상 좋아하니 성범죄율이 올라간다 여성들이 안심하고 밤거리를 돌아다닐 수 있도록 저질적인 의상 남자 교도소 가자
4349,협차을 얼마나 많이 받길래 준비때 부터 계속 기사올리노 ㅡㅡ 이렇게해서 ㅋ 살림남 들어가려고 수 쓰노?,협찬을 얼마나 많이 받길래 계속 기사를 올려
4417,1400억 뜯기고 얼마나 억울 했을꼬 뒤질만큼 아플만 하지~~~~ㅋㅋㅋㅋ,1400억 뺏기고 얼마나 억울했을꼬 죽을만큼 아플만 하지
4445,30대 아줌마들;; 고만들 하세요;,그만들 하세요
4506,mc 몽은 욕하면서 약쟁이는 칭찬하냐? 반칙으로 딴 메달이 무슨 정당성이 있다고. 에휴.. 개.돼지들.,"MC몽은 욕하면서, 마약사범은 칭찬하나? 반칙으로 딴 메달이 무슨 정당성이 있다고."
4530,ㅆ성과들과 비교가 안되는 자연미 너무 좋다.거의 이영애배우급 미모.,다른 사람들보다 빛나는 자연미가 너무 좋다. 거의 이영애 배우만큼 예쁘다.
4533,ㅇㅇ아프던 말던 뭔상관 비호감인건 변함없노ㅋㅋ,나는 저 사람이 아프던 말던 비호감이다
4569,ㅋㅋㅋㅋㅋㅋ 욕하는분들 평생 욕 안해보고 사신분?별게 다 불편해~~~~,욕 할 수도 있다고 생각한다
4577,ㅋㅋㅋㅋㅋ아이고 핫하긴핫하네. 기사마다 악플달러 달려오니...,기사마다 악플이 달리는 걸 보니 요즘 관심의 대상인 것 같다
4588,ㅋㅋㅋ위스플 제외한 한연생을 찍으면 되지 뭔 개소리냐 ㅋㅋㅋㅋ,그러면 위스플 제외한 한연생을 찍으면 되는 거 아닌가?ㅋㅋㅋ
4699,거 예비며느리가 빚 청산해주구 시부모한테 이쁨좀 받자 ㅋ,예비 며느리가 빚 청산해주면 시부모님이 좋아하시겠다
4723,결국 구걸해서 앨범냈다는 소리네?,결국 부탁해서 앨범냈다는 소리네?
4791,과거는 과거로 넘어가야지. 마음에 안들면 고조할배까지 파헤치겠네,과거는 과거로 넘어가야지. 마음에 안든다고 계속 파헤치는건 옳지 않다
4890,그나저나 장동건 고소영 딸은 크면 여자연예인들도 오징어 만든다.,그나저나 장동건 고소영 딸은 크면 여자연예인들보다 훨씬 예뻐질 것 같다.
4907,그냥 이모같은데? 아줌마스러벙,저 사람의 외모가 마음에 들지 않는다
4914,그냥 폐지해라 프로그램 오래해먹었잖아 관찰예능지겹다.벌써 섭외봐라 범죄자들이랑 연결되어있는 사람 굳이 섭외하는 이유가뭐임?작가진들 반성해 대충대충 하지마,프로그램을 더 이상 보고 싶지 않다. 관찰예능 지겹다. 문제있는 사람을 굳이 섭외할 필요도 없다. 대충대충 하는 작가진들이 반성했으면 좋겠다
4987,그리고..소유진.존나 관종인듯.꼴보기 싫으니..그만 나대고.존나 안궁금해..제발 그만나대..,그리고 소유진 너무 튀고싶어하는것 같아 그만해
5098,기자들 끝난 일 가지고 아주 가관이다사람들도 알아보고 얘기해라 이미 끝난 일임이런거에 낚이지말고,기자들이 끝난 일을 계속 들춰내는 것 같다. 사람들도 분별력있게 행동했으면 좋겠다
5113,김구라 범죄자 모습같어,나는 김구라의 외모가 싫다
5137,김원희 자식 없어서 그 흔한 제삿밥도 못 먹을 운이네 이번 생은 망했다 ㅋㅋㅋ,김원희 자식 없어서 제삿밥도 못 먹겠다
5188,꺼져 죽어,별로 보고 싶지 않다.
5196,꼰대임?! 자격지심 쩐다 정말.,자격지심이 심한 것 같다
5197,꼴값들하고 개나소나 승무원 좋아하네,누구나 승무원을 좋아한다.
5221,나는 오정연 이사람이 가장 이해안되고 나쁜사람같네ᆢ전남편이 공인인데 배려라곤 눈꼽만큼도없고,나는 오정연이 이해가 되지 않는다. 전 남편이 공인인데 전혀 배려를 하지 않는다.
5287,난 정은태 편.. 황동주 짜증나는 인물. ㅉ,난 정은태 편이다. 황동주는 별로 좋아하지 않는다.
5307,남녀 성비율봐라 ㅋㅋ 30대~40대여자들 댓글이 대부분 ㅋㅋ 맨날 막장드라마에 재벌과 평민여자의 로맨스 드라마만 처보다가 이런 드라마 보니 대가리 텅텅빈 3~40대 맘충년들은 당연히 이해가 안가지 ㅋㅋ,"남녀 성비율을 봤을 때, 댓글에 30, 40대 여성이 대부분이다. 재벌과 평민 여자의 로맨스를 다룬 드라마만 보다가 이런 드라마를 보면, 익숙하지 않은 30, 40대 여성은 이해를 못할 수 있다."
5347,남자들 열폭 심하네요ᆞ여자들 눈에는 알베르토 그냥 잘생기고 멋있고 능력있고 인성 좋고 똑똑한 남자로 보임^^,남자들이 심하게 질투할 필요는 없을 것 같다. 여자들 눈에는 알베르토 잘생기고 멋있고 능력있고 인성 좋고 똑똑한 남자로 보인다.
5605,대은아..멀리봐..크게 놀아야쥐..니얼굴이면...~~~~,대은이가 잘생겼다고 생각한다
5611,대한민국 금메달리스트가 꼭 이 시국에 쪽ㅂㄹ랑 결혼까지 해야 속이 후련햇냐ㅕㅑㅑㅑㅑㅑ,대한민국 금메달리스트가 꼭 이 시국에 일본인과 결혼까지 해야했을까?
5614,대한민국은 김치녀들 입김이 너무 세다,대한민국은 한국 여성의 영향력이 너무 세다
5814,라미란 .. 별로 연기도 잘하지도 못하면서 그냥 다만 개성이 강한 연기로 좀 뜨더니 급기야 서열 세번째로 케스팅 .. 이게 드라마 망치는 코미디가 아니고 뭐겠는가 ?,"라미란은 연기를 아주 잘한다기보다는 개성이 강한 연기로 유명해진 것 같은데, 벌써 서열 세번째로 캐스팅됐다. 드라마를 위해 좋은 방향은 아닌 것 같다."
5823,"런닝맨 , 범인은바로너 제작진이라 ㅋㅋㅋㅋㅋㅋ 망했구만 ㅋㅋㅋ 안봐도비디오다 ㅋㅋㅋ 폭망예상~~~~ 이승기는 하자마라 왜 그런예능에 출연하려고하냐 ~~~~~~~~","런닝맨, 범인은바로너 제작진이라 ㅋㅋㅋㅋㅋ 잘 안되겠구나~ 이승기는 왜 그런예능에 출연하려고 하냐~~~"
5833,류준열일베인가여? 손흥민옆에서떨어져!!,나는 류준열을 좋아하지 않는다. 그가 손흥민과 함께 있지 않았으면 좋겠다
5996,문재인가족 외국이주한 딸래미 세무조사 해야함 어찌 망해가는 게임 업체 연봉이 얼마라고 외국 국제 학교를 다보내고 이건 말도 안되는소리지 문재인가족들 국정감사부터 세무조사 먼저 하고 시작해야함,문재인 가족과 외국 이주한 딸은 세무조사를 해야 한다. 상황이 좋지 않은 게임 업체 연봉으로 외국 국제 학교를 보낸다는 게 현실적으로 불가능하다. 문재인 가족들 국정감사와 세무조사부터 먼저 시작해야 한다.
6085,"미혼성인남녀끼리있었던잠자리썰을 공개하는이유가뭐냐? 나이가몇인데 이런썰로엿먹이려는지몰라도, 한심하네,","미혼 성인 남녀끼리 있었던 사생활을 공개하는 이유가 뭐지? 나이에 걸맞지 않게, 이런 말로 다른 사람을 상처주려고 하는 건 옳지 않다."
6164,방구석 애국자 참 많다 너무 좋아!,애국을 외치지만 실천하지는 않는 사람들이 많은 것 같다.
6219,벌레같은 것들..,나쁜 사람들...
6227,범인을 모든남자로 모는건 아닌거 같다. 최종범과 영상 찾아본 일부 쓰레기들이지,범인을 모든 남자로 모는 건 아닌 것 같다. 최종범과 영상 찾아본 일부 몰상식한 사람들이지.
6299,부활도 좋고 박완규도 좋지만 김태원은 너무 싫음,부활도 좋고 박완규도 좋지만 김태원은 그렇지 않다
6406,산이는 좋겠네. 한남들 사랑 듬뿍받아서~ 한남한남,산이는 좋겠네. 이상한남자들 사랑 듬뿍받아서~
6411,살다가 미투한번 정도는 괜찮잖아? ㅋㅋ,미투는 일어날 수 있는 일이다
6453,서현숙 색기오지긴하는데 화장을너무심하게햇어ㅋㅋ,서현숙이 예쁜데 화장이 좀 안 어울린다
6465,설리 님 10월 14일 쥬금,설리 님 10월 14일 돌아가심
6535,손예진 20대때 온갓 열폭 메갈녀들이 득달처럼 악플 달던 기억이 나네. 30대쯤 되니 악플 줄어듬 ㅎㅎ,손예진 20대 때 부러워하던 사람들이 악성 댓글로 괴롭혔던 기억이 난다. 30대쯤 되니 악플이 줄어들었다.
6553,솔직히 남자들 사이에서 저런거 올리면. 욕하기도 그렇고 좀. 가만있게 될거같다. 로이킴은 위에놈들과 같진 않을거같은데. 슈퍼스타k 우승상금 5억 바로 전액 기부하고 좋은놈 같던데. 봐야알겠지만 참. 억울한 사람들도 여럿 나올듯,솔직히 남자들 사이에서 저런거 올리면. 욕하기도 그렇고 좀. 가만있게 될거같다. 로이킴은 다른 사람들과는 다를 것 같은데. 슈퍼스타k 우승상금 5억 바로 전액 기부하고 좋은 사람 같던데. 봐야알겠지만 참. 억울한 사람들도 여럿 나올듯
6611,쇼하고 않아있네. 일반인이었다면 감옥에 있을테지.,어이없는 행동이다. 일반인과 다른 특혜를 받았다.
6667,신곡도 없으면서 날로 먹네.,새로 노래도 내지 않고 편하게 일하네.
6728,아 자수성가드립 그만좀해라 아 지겨워 여기서도 저기서도 자수성가드립,자수성가라고 그만좀해라
6808,아무리생각해도 난이해안감 ㅎ 왜 저남자가왜 늙탱이를 돈많고 왜 쿨한나지만 저건이해안감 ㅋ 나만그래,아무리 생각해도 난 이해안감ㅎ 저 남자가 왜 늙은사람을 만나지?
6831,아이유 참 못됐다.ㅉㅉ설리 죽음을 이용해서 뜨려고하고있구나,아이유 참 못됐다. 설리 죽음을 이용해선 안 된다.
7106,얼굴 왜저래?,왜 저렇게 생겼대?
7120,얼마나 빡대가리면 떨어지누 ㅋㅋㅋㅋ,얼마나 머리가 나쁘면 떨어지누 ㅋㅋㅋㅋ
7148,"에휴 선처 없다네... 인정머리 보소.,","선처가 없다니, 냉정한 것 같다."
7359,연기로 이름을알려야지 연애로 이름알리려구하구쪽팔린줄알아라ㅋ누구냐넌,연애보다는 연기로 이름을 알리는 게 바람직하다.
7365,연들도 잘못된거아니냐? 그밤에 남자집으로 술쳐묵하러간게 이게 정상이냐구 그연들두 낮짝공개해라 평생 연애 결혼못하도록!,저 여자들도 잘못된거 같다. 그 밤에 남자 집에 술 먹으러 간 건 정상이 아니다. 그런 사람과는 연애나 결혼 하고 싶지 않다
7442,오빠는 제정신인데 동생은 왜그러냐,오빠가 동생에 비해 훌륭하군
7447,오정연 독한 년이네,오정연은 의지가 강한 사람이다.
7464,옷도 단벌 좁아터진 집 연예인치고 일반이보다 젤 못사네,연예인인데 일반인보다 검소하게 산다.
7472,와 나이많아도 임신이 되는구나 축하!!!,임신을 축하합니다!!
7486,와이지는 진짜 밥맛이야..연습생을 물건취급해,와이지는 연습생을 물건취급해
7641,유재석라인 지겹다 나혼자산다 유사판 자연스럽지도 않고,유재석 라인을 좋아하지 않는다 나혼자산다 유사판 자연스럽지 않다고 생각한다.
7646,유학까지 갔다와서 왜 레스토랑서 근무하지? 안갖다와도 할수있잖아,유학까지 갔다와서 그런 일은 아깝다
7704,응그나저나 안시성 폭망 좊노잼영화일듯,응 그나저나 안시성은 실적이 좋지 않다. 영화도 재미가 없을 것 같다.
7727,이 아줌마야 그냥 다른 사람 만나서 결혼하라니까 뭔 청승이노,다른 사람 만나서 결혼하는 걸 추천한다.
7740,이 친구 암은다 나앗나?? 옮으면 큰일인데..,이 친구 암은 다 나았나?
7763,이게 가수지. 양준일 보고있나. 그게 노래냐ㅉ,이게 가수지. 양준일보다 잘 하는 것 같다.
7807,이런 쓸데없는 프로그램 누가 기획하는지... 연예인 대상으로 하지 말고 민간인 추첨해서 해봐라... 화재성 1위일텐데.. 어디 듣보잡데리고,좋은 프로그램이라는 생각은 안 든다. 유명하지 않은 연예인을 대상으로 하지 말고 민간인을 추첨해서 하면 화제성 1위일텐데.
7907,이여자분 누군지모르겠는데 콧구멍이 돼지같냐,나는 이 여자분 외모가 예쁘지 않다고 생각합니다
7976,"이해가 안되는게 결혼하는데 왜 여자가 은퇴를해야되지? 할거면 같이하던가, 꼰대냐? 결혼하면 집에서 살림만해라 이거냐? 왜 여자를 바보로 만들려고하지?","이해가 안 되는게 결혼하는데 왜 여자가 은퇴를 해야 되지? 할 거면 같이 하든가, 납득하기 어렵다. 결혼하면 집에서 살림만 하라는 건가? 왜 여자를 바보로 만들려고 하지?"
8056,자고로 여자는 25세전후 가슴C컵에 골반 넓고 하얗고 복스럽게 생겨야 똑똑하고 건강한 아기낳는단다 애미야,자고로 여자는 25세 전후 가슴 c컵에 골반 넓고 하얗고 복스럽게 생겨야 건강한 아기를 낳는다.
8096,잘 알지도 못하고 물곰탕집 공격 오지든만 우리나라 사람 성격 급한거 문제 있어,잘 알지도 못하고 물곰탕집 공격이 심하다 우리나라 사람 성격 급한거 문제 있다
8113,잘하긴하는데 그뿐. 성동일 김해숙 이런애들이 표정은 잘지어도 영혼은 없고 보기거북함. 차라리 아이돌연기자들이나음.. 평소 영화많이보던사람이면알거임..,"잘 하긴 하는데 그 이상을 보여주기에는 아직 부족한 것 같다. 성동일, 김해숙 등의 배우가 표정은 잘 짓지만 영혼이 담겨있지 않다 아쉽다. 아이돌연기자를 조금 더 선호한다. 평소 영화 많이 보던 사람이면 알 거다."
8367,조센징들 남을 너무 까덴다 ... ㅎㅎ,한국 사람들은 다른 사람을 과하게 비판한다.
8368,조수향이 누구?? 임수향 짭 아님?,조수향이 누구?? 가짜 임수향 아님?
8383,조재현 쓰레기인건 맞지만 때는이때다 싶어서 달라드는 머리에 우동만찬년들 ㅋㅋ,나는 조재현도 싫지만 때는 이때다 싶어서 달려드는 사람들도 싫다
8451,중국인이랑 결혼 하는게 뭔 자랑이야,중국인이랑 결혼하는건 자랑거리가 아니다
8476,지금으로따지면 뷔+정국 느낌? 당시에 여자들이라면 믹키유천 좋아하긴함ㅋㅋㅋㅋㅋ,지금으로 따지면 뷔+정국 느낌? 당시에 여자들이라면 믹키유천 좋아하긴 함ㅋㅋㅋㅋㅋ
8565,찌질한 한국 천것들 남의 결혼기사에 또 댓글 놀이지? 니들보단 능력좋고 잘사는 사람이니 걱정은 니들 버어러지 인생 에나 하거라 ㅋㅋㅋ,"남의 결혼기사에 장난을 그만 쳤으면 좋겠다. 능력좋고 잘 사는 사람이니, 스스로를 더 챙기는 게 좋을 것 같다."
8626,최정훈도 꼭 퇴출시켜주세요잔나비 잔챙이 보컬 퇴출 운동 시작합시다 !,최정훈도 꼭 퇴출시켜주세요 잔나비 보컬 퇴출 운동 시작합시다!
8660,코를했네요 하긴지난번코는 진짜너무이상했긴했어요,코를 수술한 것 같은데 저번보다 훨씬 예쁘다.
8763,표절곡 대놓고 방송에서 쳐부르네 정신나갔네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,표절곡 대놓고 방송에서 부르네
8869,한무당 사기꾼이랑...흠..,한의사랑... 흠
8924,해인이는 그래도 인기라도 얻었지 ㅡ예진님은 똥됨,"해인이는 인기를 얻었는데, 예진님은 안타깝다."
8979,혼자 갑치는군아,혼자 방정맞군아
9028,히잌! 기저귀 찬 년들이 군대 군대 주댕이 털고 자빠졌노ㅋ( ° ͜ʖ͡°)╭∩╮,나는 여자들이 군대에 관련해 주장하지 않았으면 좋겠다
9033,"""자한당틀딱들.. 악플질 고만해라.""",자유한국당 지지자들은 악성 댓글을 그만 작성하길 바란다.
9063,"""보름이 원래 웃음상이라 오해받는건데 40대 새끼들 진짜 토나온다""",보름이 원래 웃음상이라 오해받는 건데 40대 사람들이 비난해 마음이 아프다.
9073,다들 존나 꼬였구나,다들 꼬였구나
9084,"""근데 짱깨국에서 원래 마약하면 사형 아니였음?? 시진핑 집권하고 바뀌었나?""",근데 중국에서 원래 마약하면 사형 아니었나? 시진핑이 집권하고 바뀌었나?
9098,"""사람을 칼로 찌른 짱깨를 동포라니 조선족이 문재인을 칼로 찔렀으면 중국동포라고 했을까""",사람을 칼로 찌른 중국인을 동포라니 조선족이 문재인을 칼로 찔렀으면 중국동포라고 했을까
9125,"""대기업 ㄸ꼬 열심히 빠는 흙수저들 많네;; 댓글비율봐라ㅋㅋㅋ40대 남성ㅋㅋ""",대기업 열심히 치켜세우는 가난한 사람들 많네 댓글비율봐라 40대남성
9126,"""일본놈들이 손발이 닳도록 빌었나 보네...""",일본인들이 손발이 닳도록 빌었나 보네...
9137,솔직히 잼미하나도없다 일회보고안봄 졸라잼미없어,"첫 회를 봤는데, 나에게는 솔직히 그다지 재미가 없었다."
9159,"""여가부는 무슨 피해망상 집단이냐? 개꼰대들이네 진짜""",여가부는 피해망상이 있나?
9197,ㅈㄹ이다... 그래 잘댕겨 나오지마라 ㅠ,그래 잘다녀 나오지마라
9268,"""참 답답하다. 다들 왜 꼰대들만 있니""",참 답답하다. 다들 시대착오적인 생각을 하는 것 같다.
9273,"""맘충 좀 다 뒤지면 좋겠다""",본인의 아이만 생각하는 엄마들은 반성했으면 좋겠다.
9290,짱게 중국인 태어났는데 뭔 축하 오지랖이냐? 한국인 애들이나 축하해라,중국인보다 한국인 아이가 태어났을 때 더 많이 축하해주면 좋겠다.
